INSURANCE_TYPE,PREMIUM_AMOUNT,CLAIM_AMOUNT,CITY,STATE,POSTAL_CODE,MARITAL_STATUS,AGE,TENURE,EMPLOYMENT_STATUS,NO_OF_FAMILY_MEMBERS,RISK_SEGMENTATION,HOUSE_TYPE,SOCIAL_CLASS,CUSTOMER_EDUCATION_LEVEL,CLAIM_STATUS,INCIDENT_SEVERITY,AUTHORITY_CONTACTED,ANY_INJURY,POLICE_REPORT_AVAILABLE,INCIDENT_STATE,INCIDENT_CITY,INCIDENT_HOUR_OF_THE_DAY,AGENT_ID,VENDOR_ID,AGENT_NAME,DATE_OF_JOINING,AGENT_CITY,AGENT_STATE,AGENT_POSTAL_CODE,EMP_ROUTING_NUMBER,EMP_ACCT_NUMBER,VENDOR_NAME,VENDOR_CITY,VENDOR_STATE,VENDOR_POSTAL_CODE,TRANSACTION_DAY,TRANSACTION_MONTH,TRANSACTION_YEAR,POLICY_EFF_DAY,POLICY_EFF_MONTH,POLICY_EFF_YEAR,LOSS_DAY,LOSS_MONTH,LOSS_YEAR,REPORT_DAY,REPORT_MONTH,REPORT_YEAR
Life,61.45,92000,Manchester,CT,6040,N,59,14,Y,7,M,Mortgage,MI,Masters,A,Major Loss,Ambulance,1,1,MD,Crofton,23,AGENT01091,VNDR00163,Joshua Losey,2004-10-09,Montgomery,AL,36108,123461076,YIAT74328087165676,Foster-Sanchez,Fremont,CA,94555,1,6,2020,30,3,2019,20,5,2020,25,5,2020
Motor,101.15,8000,Nashville,TN,37221,Y,42,39,Y,2,H,Own,HI,High School,D,Major Loss,Ambulance,1,1,CT,Manchester,3,AGENT00288,VNDR00410,Michael Fowler,2002-10-08,Guthrie,OK,73044,73263191,GBXZ93703464051375,Fleming Group,Hartford,VT,5468,1,6,2020,22,7,2016,21,5,2020,26,5,2020
Health,157.95,11000,Anchorage,AK,99515,Y,57,118,Y,3,M,Mortgage,LI,Bachelor,A,Major Loss,Ambulance,0,1,KY,Louisville,22,AGENT00015,VNDR00191,Charles George,1998-01-31,Noble,OK,73068,112506777,PEUK68232037630713,Armstrong-Ramirez,Manchester,CT,6040,1,6,2020,12,6,2019,24,5,2020,27,5,2020
Life,64.16,51000,Savannah,GA,31419,N,31,118,Y,7,L,Own,LI,High School,A,Total Loss,Ambulance,1,0,AK,Anchorage,0,AGENT01094,VNDR00018,Robert Venable,1997-04-15,Saint Albans City,VT,5478,69952254,TOGM23655710729269,Bradley Ltd,Washington,DC,20018,1,6,2020,29,1,2020,18,5,2020,23,5,2020
Mobile,6.76,700,McCrory,AR,72101,Y,55,90,Y,6,L,Mortgage,HI,PhD,A,Major Loss,Police,1,1,CO,Arvada,11,AGENT00324,VNDR00135,Barbara Hernandez,1994-12-13,Panama City,FL,32405,80018643,JANY27171527955107,Shields-Bush,Savannah,GA,31401,1,6,2020,8,6,2015,20,5,2020,25,5,2020
Motor,128.73,9000,Washington,DC,20019,Y,57,48,Y,2,L,Rent,LI,Bachelor,A,Minor Loss,Police,0,1,AR,Fayetteville,22,AGENT00608,VNDR00051,Renee Zaldana,2015-02-24,Mammoth Lakes,CA,93546,28869605,NSVP36826783847299,Roberts-Garcia,Louisville,KY,40214,1,6,2020,25,1,2011,12,5,2020,17,5,2020
Property,114.42,39000,Manchester,CT,6040,Y,53,19,Y,5,M,Mortgage,MI,Bachelor,A,Major Loss,Other,0,1,DC,Washington,2,AGENT00911,VNDR00238,Troy Caldwell,1990-10-04,Medford,MA,2155,12632408,QBSF82653869882343,Moore Inc,Fayetteville,AR,72703,1,6,2020,17,4,2014,13,5,2020,18,5,2020
Property,157.18,40000,Arvada,CO,80005,Y,32,106,Y,4,L,Mortgage,HI,Bachelor,A,Major Loss,Police,0,1,AL,Montgomery,14,AGENT00079,VNDR00143,Rivka Robinson,1997-12-11,Washington,DC,20001,119270857,SAHS72824131306931,Henderson Inc,Washington,DC,20002,1,6,2020,25,3,2015,22,5,2020,25,5,2020
Motor,116.55,8000,Manchester,CT,6042,N,45,69,Y,4,H,Mortgage,MI,High School,A,Total Loss,Ambulance,0,1,MA,Fitchburg,20,AGENT00994,VNDR00107,Geraldine Lopez,2001-04-30,Arvada,CO,80004,118471806,YLMV72211135178869,"Kaiser, Sanford and Lopez",Arvada,CO,80003,1,6,2020,3,11,2017,27,5,2020,28,5,2020
Life,77.17,68000,Washington,DC,20011,Y,59,119,Y,5,M,Mortgage,MI,High School,A,Total Loss,Ambulance,1,1,CO,Arvada,1,AGENT00490,VNDR00375,Kenneth Elmer,2015-06-12,Glendale,AZ,85302,73241650,MKKM02244049362842,"Ortega, Maldonado and Carson",Panama City Beach,FL,32413,1,6,2020,8,11,2013,17,5,2020,22,5,2020
Health,155.23,17000,Hartford,VT,5001,Y,51,51,Y,6,L,Own,MI,High School,A,Total Loss,Other,1,0,CO,Arvada,3,AGENT00446,VNDR00215,Christina Bock,2009-10-30,Berkeley,CA,94702,35675549,PRDU66700551824530,"Mooney, Nicholson and Martinez",Annapolis,MD,21401,1,6,2020,10,7,2015,30,5,2020,30,5,2020
Mobile,9.15,300,Berkeley,CA,94708,N,51,101,Y,4,L,Rent,LI,Masters,A,Major Loss,Ambulance,0,1,DC,Washington,18,AGENT00379,VNDR00544,Tracy Straight,1995-02-19,Aurora,CO,80011,63458958,OVEJ89780285680805,"Miller, Jensen and Bridges",Crofton,MD,21114,1,6,2020,19,1,2017,26,5,2020,28,5,2020
Life,81.45,80000,Panama City Beach,FL,32413,N,44,49,Y,4,L,Rent,MI,Bachelor,A,Major Loss,Ambulance,1,1,CA,Woodland,7,AGENT00302,VNDR00375,Brenda Trent,1997-08-27,Panama City,FL,32404,61374377,BIVD24339360938518,"Ortega, Maldonado and Carson",Panama City Beach,FL,32413,1,6,2020,29,12,2011,28,5,2020,29,5,2020
Property,153.04,10000,Anchorage,AK,99503,Y,64,81,N,7,M,Rent,MI,High School,A,Total Loss,Police,0,0,CO,Arvada,22,AGENT00266,VNDR00585,Theresa Pelfrey,2015-09-01,Arvada,CO,80003,64537344,BRGO46743678530228,Solomon Ltd,Fayetteville,AR,72701,1,6,2020,20,6,2015,22,5,2020,25,5,2020
Property,120.31,30000,Savannah,GA,31419,Y,47,60,Y,5,L,Mortgage,MI,Bachelor,A,Minor Loss,Police,1,0,FL,Lynn Haven,10,AGENT00947,VNDR00087,Luis Castleman,2008-05-23,Savannah,GA,31404,116360016,DVYX31108568499849,Davis PLC,Fayetteville,AR,72701,1,6,2020,29,10,2011,17,5,2020,22,5,2020
Property,87.09,37000,Hanover,MD,21076,Y,47,95,Y,5,H,Mortgage,MI,Bachelor,A,Minor Loss,Police,1,1,TN,Nashville,13,AGENT00070,VNDR00051,Sylvia Buckley,1996-10-19,Severna Park,MD,21146,124127270,RJVH50696223589264,Roberts-Garcia,Louisville,KY,40214,1,6,2020,18,3,2018,27,5,2020,28,5,2020
Health,130.78,17000,Oakland,CA,94611,Y,26,28,Y,3,L,Rent,MI,PhD,A,Total Loss,Police,1,1,GA,Savannah,11,AGENT00739,VNDR00354,Jonathan Ortiz,2000-08-21,Nashville,TN,37210,64715124,MBAT56906496705600,Stevens-Mills,Washington,DC,20011,1,6,2020,30,12,2011,14,5,2020,19,5,2020
Health,119.4,19000,Fayetteville,AR,72701,Y,57,85,Y,3,L,Own,HI,Masters,A,Minor Loss,Police,0,0,MA,Quincy,0,AGENT01169,VNDR00310,Tracey Banks,2015-01-02,Panama City,FL,32404,118320300,SZSL98136625814720,Salinas-Ferrell,Fayetteville,AR,72703,1,6,2020,23,6,2014,28,5,2020,29,5,2020
Property,159.2,37000,Montgomery,AL,36105,Y,43,32,N,3,L,Own,LI,Bachelor,A,Minor Loss,Police,0,1,MD,Pasadena,7,AGENT00431,VNDR00339,Sunshine Lopez,2008-04-05,Fall River,MA,2721,121399506,ZZDC51369291716341,Hickman-Mendoza,Glendale,AZ,85310,1,6,2020,29,8,2016,20,5,2020,25,5,2020
Mobile,8.32,600,Nashville,TN,37076,N,58,49,Y,4,M,Own,HI,Bachelor,A,Major Loss,Police,0,1,CO,Arvada,19,AGENT00546,VNDR00233,Charles Wilson,2013-07-03,Savannah,GA,31406,123326658,IGLT11842426840743,Cardenas-Mcknight,Anchorage,AK,99502,1,6,2020,29,6,2019,18,5,2020,23,5,2020
Health,147.7,13000,Glendale,AZ,85301,N,25,117,Y,7,M,Rent,MI,PhD,A,Major Loss,Ambulance,1,0,CO,Arvada,3,AGENT00531,VNDR00249,Tara Walling,2017-06-21,Glen Burnie,MD,21061,86861522,VRME87332443963861,"Mora, Bass and Romero",Arvada,CO,80003,1,6,2020,3,7,2010,14,5,2020,19,5,2020
Property,124.45,15000,Glen Burnie,MD,21061,N,41,106,Y,4,L,Rent,LI,Bachelor,A,Minor Loss,Ambulance,1,1,AL,Montgomery,22,AGENT01134,VNDR00565,Joanna Bailey,2007-12-25,Farmington,AR,72730,104508408,GTAT20473263158624,Ochoa and Sons,Brockton,MA,2302,2,6,2020,26,1,2016,20,5,2020,25,5,2020
Life,51.18,27000,Washington,DC,20001,Y,33,28,Y,7,M,Mortgage,LI,PhD,A,Minor Loss,Police,1,1,KY,Louisville,0,AGENT00552,VNDR00239,Lauren Kimble,1998-07-29,Arvada,CO,80003,87782095,WJEL03829766240130,Brooks-Bowen,Oklahoma City,OK,73112,2,6,2020,28,3,2013,26,5,2020,28,5,2020
Mobile,8.38,100,Brookline,MA,2445,N,64,100,Y,5,L,Own,LI,Bachelor,A,Minor Loss,Other,1,1,CT,Manchester,17,AGENT00623,VNDR00045,William Crume,1993-01-23,Louisville,KY,40245,116603838,UZFW20387729447576,Bell PLC,Anchorage,AK,99577,2,6,2020,24,5,2012,25,5,2020,28,5,2020
Life,95.16,74000,Berkeley,CA,94702,N,26,51,Y,2,L,Mortgage,LI,College,A,Major Loss,Ambulance,1,1,KY,Louisville,13,AGENT00313,VNDR00226,Jean Cedeno,2011-03-10,Montgomery,AL,36117,77224084,WQLL86041147288019,Ortega-Michael,Savannah,GA,31419,2,6,2020,13,8,2014,17,5,2020,22,5,2020
Life,66.73,69000,Arvada,CO,80007,Y,30,100,Y,3,M,Mortgage,MI,Masters,A,Minor Loss,Ambulance,1,0,MD,Pasadena,7,AGENT00886,VNDR00492,Larry Miller,2004-10-20,Panama City Beach,FL,32408,35997418,FTOT36944483714748,Hunter PLC,Louisville,KY,40223,2,6,2020,14,2,2013,13,5,2020,18,5,2020
Mobile,8.27,300,Panama City,FL,32405,Y,57,104,Y,4,L,Rent,MI,Bachelor,A,Minor Loss,Police,1,1,FL,Panama City,8,AGENT00690,VNDR00451,Robert Ward,2010-08-21,Louisville,KY,40291,106847442,IYLB01551123255113,"Hicks, Patton and Cook",Anchorage,AK,99507,2,6,2020,22,6,2017,17,5,2020,22,5,2020
Life,50.3,18000,Hayward,CA,94541,Y,30,35,Y,5,M,Own,MI,High School,A,Total Loss,Police,0,1,AL,Montgomery,14,AGENT00678,VNDR00156,Norman Brown,2004-04-05,Glendale,AZ,85301,49627787,SRIK72670179976106,Daniels-Camacho,Montgomery,AL,36116,2,6,2020,28,2,2018,30,5,2020,30,5,2020
Mobile,6.59,600,Louisville,KY,40223,Y,26,108,Y,4,L,Rent,HI,Masters,A,Minor Loss,Ambulance,0,0,DC,Washington,6,AGENT00132,VNDR00560,Peggy Williams,2004-12-16,Anchorage,AK,99577,52052828,TMNN23369854159891,Brown Group,Arvada,CO,80002,2,6,2020,29,12,2011,21,5,2020,26,5,2020
Mobile,11.04,600,Pittsfield,MA,1201,Y,62,108,Y,5,H,Rent,MI,PhD,A,Total Loss,Other,0,1,CT,Manchester,0,AGENT00284,VNDR00118,Laura Carroll,2007-05-31,Berkeley,CA,94705,24848170,EXSJ20983551845112,Davis-Walker,Fayetteville,AR,72701,2,6,2020,27,7,2010,18,5,2020,23,5,2020
Life,86.77,34000,Washington,DC,20007,N,55,118,Y,5,L,Mortgage,LI,High School,A,Major Loss,Ambulance,0,0,CT,Manchester,2,AGENT00312,VNDR00018,Danielle Caddell,1998-07-09,Colchester,VT,5446,102345346,NFUY75139296831747,Bradley Ltd,Washington,DC,20018,2,6,2020,17,7,2014,23,5,2020,26,5,2020
Motor,89.11,2000,Middlebury,VT,5753,Y,62,66,Y,4,H,Own,HI,Masters,A,Minor Loss,Police,0,1,AK,Anchorage,14,AGENT00622,VNDR00560,Roscoe Wooden,2015-01-04,Anchorage,AK,99501,12462649,YPYD26891395401546,Brown Group,Arvada,CO,80002,2,6,2020,6,7,2015,20,5,2020,25,5,2020
Property,140.72,35000,Manchester,CT,6042,Y,57,93,Y,3,L,Rent,HI,PhD,A,Total Loss,Police,1,1,AR,Farmington,0,AGENT00896,VNDR00086,Callie Lewis,2015-09-19,Baltimore,MD,21225,76362167,OHJG54561980157606,"Guerrero, Norman and Baker",Dartmouth,MA,2748,2,6,2020,5,9,2010,18,5,2020,23,5,2020
Property,129.9,18000,Beverly Hills,FL,34465,N,32,55,Y,6,L,Own,MI,High School,A,Minor Loss,Ambulance,1,1,OK,Oklahoma City,18,AGENT00744,VNDR00045,Dorothy Rodriguez,1997-05-11,Glendale,AZ,85301,94100042,PAAF08106561476700,Bell PLC,Anchorage,AK,99577,2,6,2020,27,7,2018,22,5,2020,27,5,2020
Life,84.99,66000,Montgomery,AL,36107,Y,39,51,N,3,L,Own,MI,College,A,Minor Loss,Ambulance,1,1,AL,Montgomery,16,AGENT00617,VNDR00179,Michael Brim,2001-11-28,Oklahoma City,OK,73170,115509742,RQVC56806537011933,Carter and Sons,Panama City,FL,32404,2,6,2020,28,11,2012,24,5,2020,27,5,2020
Travel,90.04,5000,Glendale,AZ,85306,Y,51,105,Y,2,M,Rent,MI,High School,A,Minor Loss,Ambulance,1,1,AR,Farmington,5,AGENT00969,VNDR00071,Julian Holland,1990-09-10,Panama City Beach,FL,32407,113174014,ZCGA42160773116840,Martinez-Thomas,Mexico Beach,FL,32456,2,6,2020,1,10,2012,28,5,2020,29,5,2020
Motor,117.72,7000,Livermore,CA,94551,N,31,39,Y,7,L,Rent,MI,High School,D,Major Loss,Police,0,0,CO,Arvada,0,AGENT00642,VNDR00169,Toni Singh,1998-10-03,Manchester,CT,6040,42374817,TTLQ72519681961221,Hicks Group,Fayetteville,AR,72703,2,6,2020,9,12,2010,26,5,2020,28,5,2020
Property,109.74,15000,Wheelock,VT,5851,Y,31,42,Y,4,L,Rent,LI,High School,D,Minor Loss,Police,0,1,VT,Richmond,2,AGENT00845,VNDR00009,Josephine Kraemer,2017-11-07,Panama City,FL,32405,63667590,CFVD19520852636468,"Flores, Haas and Fox",Arvada,CO,80003,2,6,2020,28,7,2017,31,5,2020,31,5,2020
Mobile,9.05,300,Louisville,KY,40272,N,56,115,Y,5,M,Mortgage,HI,Bachelor,A,Major Loss,Ambulance,1,1,DC,Washington,22,AGENT00580,VNDR00323,John Hassan,1997-07-05,Anchorage,AK,99516,13682813,CNOL13767821635403,"Lynn, Smith and Nelson",Athol,MA,1331,2,6,2020,9,9,2018,29,5,2020,30,5,2020
Motor,116.99,10000,Glendale,AZ,85308,N,51,88,Y,7,M,Own,MI,College,A,Minor Loss,Ambulance,0,0,AZ,Glendale,13,AGENT00697,VNDR00488,Judy Hall,2015-11-02,Louisville,KY,40220,41392146,IIYP82972083715600,Walker-Ingram,Fremont,CA,94536,2,6,2020,7,5,2016,23,5,2020,26,5,2020
Mobile,11.04,400,Louisville,KY,40243,Y,49,20,N,2,H,Mortgage,MI,PhD,A,Total Loss,Ambulance,1,1,VT,Greensboro,22,AGENT00780,VNDR00094,Yvonne Coomer,1996-12-22,Washington,DC,20016,17970178,QETK08575748855967,Payne-Smith,Panama City,FL,32401,2,6,2020,15,3,2015,13,5,2020,18,5,2020
Mobile,6.63,600,Charlotte,VT,5445,Y,64,59,Y,7,L,Own,LI,Bachelor,A,Total Loss,Other,0,1,AL,Montgomery,22,AGENT01183,VNDR00277,Elisa Guerrero,1991-09-06,Swanton,VT,5488,111341810,EIHW29270106624817,Baker and Sons,Savannah,GA,31401,2,6,2020,7,4,2017,15,5,2020,20,5,2020
Motor,82.82,9000,Oklahoma City,OK,73170,N,43,34,Y,7,L,Mortgage,MI,College,A,Major Loss,Ambulance,0,0,AK,Anchorage,21,AGENT00293,VNDR00025,Judy Drinkwater,1993-10-31,Arvada,CO,80003,90027051,CXHX31274722743745,Wright Group,Fayetteville,AR,72703,2,6,2020,27,5,2013,29,5,2020,30,5,2020
Property,104.05,16000,Oklahoma City,OK,73162,Y,41,106,N,7,L,Rent,MI,Bachelor,A,Minor Loss,Ambulance,1,1,GA,Savannah,5,AGENT01049,VNDR00448,Jazmin Lewison,1996-01-21,Fayetteville,AR,72703,49847059,DRKT56753972724850,Jackson and Sons,Savannah,GA,31419,2,6,2020,5,9,2017,27,5,2020,29,5,2020
Property,137.02,19000,Montgomery,AL,36117,Y,46,49,Y,3,M,Rent,MI,Bachelor,A,Total Loss,Ambulance,1,1,MD,Glen Burnie,9,AGENT00046,VNDR00445,William Ramos,2001-11-11,Hayward,CA,94541,74580381,XAYL42110131828573,"Bass, Garcia and Garcia",Arvada,CO,80004,2,6,2020,29,6,2011,20,5,2020,25,5,2020
Travel,75.99,3000,Waltham,VT,5149,Y,64,92,Y,5,L,Rent,HI,College,A,Total Loss,Ambulance,1,0,MA,Waltham,19,AGENT00224,VNDR00498,Evelyn Ortiz,2009-08-24,Arvada,CO,80004,62683915,BAUZ02979385845875,Smith-Clark,Edmond,OK,73013,2,6,2020,1,4,2015,16,5,2020,21,5,2020
Motor,92.71,2000,Crownsville,MD,21032,N,47,102,Y,2,H,Mortgage,MI,High School,A,Total Loss,Police,1,1,CA,Jackson,7,AGENT00410,VNDR00358,Ken Tantillo,2006-12-18,Severna Park,MD,21146,120561063,DPVY54309816267613,Hernandez PLC,Fayetteville,AR,72703,2,6,2020,2,7,2010,19,5,2020,24,5,2020
Property,111.33,30000,Fayetteville,AR,72701,N,36,15,Y,2,L,Rent,LI,College,A,Total Loss,Ambulance,1,1,AK,Anchorage,14,AGENT00515,VNDR00164,Janelle Hill,2004-09-30,Fayetteville,AR,72704,37825559,CBPQ53135288819291,Perkins Group,Mountain View,CA,94043,2,6,2020,18,11,2019,29,5,2020,30,5,2020
Mobile,8.51,300,Newport,VT,5855,Y,48,16,Y,2,L,Mortgage,MI,MD,A,Major Loss,Ambulance,1,1,OK,Oklahoma City,21,AGENT00824,VNDR00083,Roger Ewing,2004-09-28,Montgomery,AL,36117,86131197,SSOI84857173204962,"Kennedy, Benjamin and Young",Montgomery,AL,36109,2,6,2020,25,6,2019,21,5,2020,26,5,2020
Travel,97.08,2000,Savannah,GA,31405,Y,56,104,Y,7,L,Own,LI,High School,A,Total Loss,Ambulance,1,0,KY,Louisville,11,AGENT00288,VNDR00511,Michael Fowler,2002-10-08,Guthrie,OK,73044,73263191,GBXZ93703464051375,"Miller, Williams and Mcgee",Anchorage,AK,99507,2,6,2020,30,8,2019,19,5,2020,24,5,2020
Property,155.05,16000,Montgomery,AL,36108,Y,32,12,Y,2,L,Rent,MI,Masters,A,Minor Loss,Ambulance,1,0,VT,Fairfax,15,AGENT00308,VNDR00457,Ernesto Brown,1998-04-27,Fayetteville,AR,72703,67598283,BBGB88504168531175,Kramer and Sons,Glendale,AZ,85310,2,6,2020,27,8,2010,19,5,2020,24,5,2020
Property,124.97,35000,Washington,DC,20001,Y,42,14,Y,7,H,Mortgage,MI,Masters,A,Total Loss,Other,0,1,OK,Oklahoma City,21,AGENT01028,VNDR00383,Andrea Castilla,2013-03-17,Montgomery,AL,36109,25411072,YJXS04901758045402,"Dawson, Taylor and Chavez",Norwood,MA,2062,2,6,2020,19,7,2018,21,5,2020,26,5,2020
Property,151.81,15000,Panama City,FL,32408,Y,53,69,N,7,L,Mortgage,HI,High School,A,Minor Loss,Ambulance,1,1,AZ,Glendale,20,AGENT00111,VNDR00010,Philip Mabrey,2013-09-07,Fayetteville,AR,72701,63362439,RHJK50643422441905,Mcclure Ltd,Pasadena,MD,21122,2,6,2020,21,5,2017,24,5,2020,27,5,2020
Property,121.54,31000,Nashville,TN,37013,N,40,108,Y,5,L,Own,HI,PhD,A,Major Loss,Police,1,1,MD,Annapolis,22,AGENT00697,VNDR00269,Judy Hall,2015-11-02,Louisville,KY,40220,41392146,IIYP82972083715600,Davies LLC,Nashville,TN,37221,2,6,2020,27,10,2014,1,6,2020,1,6,2020
Travel,77.47,3000,Fremont,CA,94536,Y,39,16,Y,7,M,Rent,MI,Masters,D,Total Loss,Ambulance,0,0,MD,Millersville,12,AGENT00018,VNDR00314,Rita Allaire,1990-09-30,Montgomery,AL,36117,31655398,LROE33621282470193,Clarke Ltd,Hanover,MD,21076,2,6,2020,10,9,2015,31,5,2020,31,5,2020
Life,67.55,96000,Westmore,VT,5860,Y,28,13,Y,5,M,Mortgage,MI,High School,A,Major Loss,Police,1,1,CT,Manchester,13,AGENT00612,VNDR00040,Susan Mincey,1998-02-17,Louisville,KY,40219,53027632,TZWA74673988653551,Reynolds-Tucker,Manchester,CT,6040,2,6,2020,17,2,2011,26,5,2020,28,5,2020
Travel,98.49,2000,Pasadena,MD,21122,N,37,96,Y,5,L,Own,HI,High School,A,Total Loss,Other,1,0,AK,Anchorage,5,AGENT00141,VNDR00383,Mike Cress,2003-04-18,Anchorage,VT,5468,112803894,YAMO72600055800315,"Dawson, Taylor and Chavez",Norwood,MA,2062,2,6,2020,25,3,2018,15,5,2020,20,5,2020
Mobile,11.21,400,Louisville,KY,40207,Y,53,54,Y,6,M,Own,MI,Bachelor,A,Total Loss,Other,1,1,CT,Manchester,10,AGENT00572,VNDR00305,Harriett Williamson,2001-07-05,Manchester,CT,6040,47422007,XGHB57744889716207,"Campbell, Maldonado and Mullins",Fayetteville,AR,72701,3,6,2020,3,11,2014,2,6,2020,2,6,2020
Health,156.2,3000,Nashville,TN,37208,Y,36,82,N,4,L,Rent,MI,Bachelor,A,Total Loss,Police,0,0,CA,Oakland,7,AGENT00565,VNDR00239,Jonathan Onusko,1997-04-09,Annapolis,MD,21403,116879811,IEPT05177412022149,Brooks-Bowen,Oklahoma City,OK,73112,3,6,2020,9,2,2011,28,5,2020,30,5,2020
Mobile,7.23,100,Oklahoma City,OK,73135,N,47,16,Y,5,M,Own,MI,High School,A,Major Loss,Other,1,1,AR,Fayetteville,9,AGENT00603,VNDR00303,Eleanor Timko,1993-09-27,Severn,MD,21144,99291684,UMBO35567858615366,Dawson Inc,Fayetteville,AR,72703,3,6,2020,23,9,2019,23,5,2020,28,5,2020
Mobile,11.63,400,Glen Burnie,MD,21061,Y,33,51,Y,2,M,Mortgage,MI,Bachelor,A,Total Loss,Ambulance,1,0,AK,Anchorage,1,AGENT01107,VNDR00033,Greg Mclaughlin,1995-03-16,Louisville,KY,40272,72368411,LXKK59804609985447,Hooper-Garrett,Louisville,KY,40211,3,6,2020,30,1,2019,24,5,2020,27,5,2020
